symbol,status,best_model,horizon,accuracy,precision,recall,f1,train_rows,test_rows,elapsed_s,error
BDL.NS,ok,StackEnsemble,2 Months,0.7892,0.8571,0.08,0.1463,0,0,124.4,
BEL.NS,ok,CatBoost,6 Months,0.7872,0.7273,0.6995,0.7131,0,0,151.9,
BEML.NS,ok,StackEnsemble,1 Month,0.7778,0.8,0.1412,0.24,0,0,168.7,
BERGEPAINT.NS,ok,StackEnsemble,3 Months,0.854,0.766,0.5,0.605,0,0,181.3,
BHARATFORG.NS,ok,XGB_HiReg,6 Months,0.6233,0.6064,1.0,0.755,0,0,155.1,
BHARTIARTL.NS,below_threshold,RandForest,1 Month,0.7939,0.4667,0.0,0.0,0,0,160.2,
BHARTIHEXA.NS,below_threshold,StackEnsemble,2 Weeks,0.7464,0.375,0.0,0.0,0,0,24.2,
BHEL.NS,ok,XGB_HiReg,6 Months,0.7021,0.9,0.4592,0.6081,0,0,193.6,
BIKAJI.NS,below_threshold,RandForest,2 Months,0.7937,0.5833,0.0,0.0,0,0,163.3,
BIOCON.NS,ok,StackEnsemble,1 Week,0.7429,1.0,0.0526,0.1,0,0,157.3,
BLS.NS,below_threshold,GradBoost,1 Week,0.7186,0.3659,0.0,0.0,0,0,165.2,
BLUEDART.NS,ok,RandForest,3 Months,0.8665,0.7333,0.1183,0.2037,0,0,159.6,
BLUEJET.NS,ok,XGBoost,1 Month,0.693,0.6667,0.0556,0.1026,0,0,123.4,
BLUESTARCO.NS,ok,XGB_HiReg,6 Months,0.8767,1.0,0.4146,0.5862,0,0,161.1,
BOSCHLTD.NS,ok,RandForest,3 Months,0.6941,0.75,0.0585,0.1086,0,0,165.9,
BPCL.NS,ok,StackEnsemble,6 Months,0.719,0.8667,0.2889,0.4333,0,0,158.3,
BRIGADE.NS,ok,Ensemble,1 Week,0.7482,0.625,0.0556,0.102,0,0,150.2,
BRITANNIA.NS,ok,RandForest,2 Months,0.8389,0.7778,0.0625,0.1157,0,0,162.2,
BSE.NS,ok,StackEnsemble,6 Months,0.7226,0.7091,0.9949,0.828,0,0,193.0,
BSOFT.NS,below_threshold,XGBoost,2 Weeks,0.7608,0.5625,0.0,0.0,0,0,153.7,
CAMPUS.NS,ok,LightGBM,6 Months,0.9486,0.9683,0.6854,0.8026,0,0,145.7,
CAMS.NS,below_threshold,Ensemble,1 Week,0.7067,0.5714,0.0,0.0,0,0,160.1,
CANBK.NS,ok,StackEnsemble,6 Months,0.75,0.7579,0.5902,0.6636,0,0,163.5,
CANFINHOME.NS,ok,XGBoost,2 Months,0.7349,0.7377,0.2195,0.3383,0,0,163.1,
CAPLIPOINT.NS,ok,XGB_HiReg,1 Month,0.7836,0.72,0.1132,0.1957,0,0,162.0,
